,Process Id,Process Name,Memory used by W3SVC
335,33776,python.exe,25116672
336,22608,conhost.exe,11448320
337,33012,audiodg.exe,12546048
338,25628,python.exe,17125376
339,8140,conhost.exe,11464704
340,11880,python.exe,15220736
341,1376,conhost.exe,11452416
342,7100,svchost.exe,6266880
343,22552,Teams.exe,66355200
344,25836,conhost.exe,7323648
345,24544,powershell.exe,76607488
346,26032,msedge.exe,26963968
347,26012,chrome.exe,23920640
348,18640,python.exe,52178944
349,17200,python.exe,15351808
350,12412,conhost.exe,11476992
351,28392,svchost.exe,7680000
352,7140,svchost.exe,9678848
353,31084,SearchProtocolHost.exe,8712192
354,23648,Code.exe,155336704
355,15896,python.exe,17985536
356,21584,conhost.exe,11456512
357,8340,python.exe,126119936
358,14224,python.exe,18092032
359,29260,conhost.exe,11456512
360,16380,python.exe,52162560
361,9184,SearchFilterHost.exe,7532544
362,14408,ProcInfo.exe,24756224
363,144,Code.exe,141635584
364,23252,python.exe,18018304
365,9100,conhost.exe,11493376
366,25416,python.exe,103829504
367,24848,python.exe,17989632
368,30404,conhost.exe,11489280
369,33416,python.exe,51879936
370,31920,SDXHelper.exe,29036544
